reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
49,13,20156,1.43,268322853,268322853,13,-0.5120214819908142,-1.295861124992371,0.3216800093650818
63,14,20157,1.46,268322855,268322855,-1,-0.5366692543029785,-1.357548117637634,-0.02548051252961159
51,15,20157,1432,268322857,268322857,15,-0.5085185766220093,-1.286338686943054,0.3706288635730743
12,0,20165,0.5660000000000001,268322878,268322878,-15,-0.2017023712396622,-0.5081459879875183,-0.1464915722608566
64,1,20166,1456,268322881,268322881,1,-0.537324845790863,-1.352986454963684,0.02541070431470871
8,2,20167,646,268322883,268322883,-13,-0.2324282824993134,-0.5849578380584717,-0.1453183740377426
57,3,20168,1446,268322885,268322885,3,-0.5334526896476746,-1.341870784759521,0.075677789747715
8,4,20168,676,268322887,268322887,-11,-0.2451413124799728,-0.6166393756866455,-0.1289868801832199
52,5,20169,1438,268322890,268322890,5,-0.5294402837753296,-1.331100821495056,0.1253299564123154
7,6,20170,0.78,268322892,268322892,-9,-0.2848517596721649,-0.7158008813858032,-0.1220188811421394
62,7,20171,1428,268322894,268322894,7,-0.5242925882339478,-1.316820025444031,0.1740294247865677
14,8,20172,884,268322897,268322897,-7,-0.3247043490409851,-0.8151176571846008,-0.1077324971556664
50,9,20173,1448,268322899,268322899,9,-0.5294974446296692,-1.328542947769165,0.2265171110630035
62,10,20173,1.5,268322901,268322901,-5,-0.5532365441322327,-1.388105869293213,-0.1307336091995239
56,11,20174,1448,268322904,268322904,11,-0.5264784693717957,-1.320298194885254,0.2762914299964905
67,12,20175,1486,268322906,268322906,-3,-0.5498937368392944,-1.378319501876831,-0.07777123153209686
48,13,20176,1436,268322908,268322908,13,-0.5187090635299683,-1.299495577812195,0.3230297267436981
61,14,20177,1472,268322910,268322910,-1,-0.5458546280860901,-1.366809010505676,-0.02568994276225567
50,15,20178,1456,268322913,268322913,15,-0.5218313932418823,-1.305993556976318,0.3768405318260193
12,0,20185,0.5660000000000001,268322934,268322934,-15,-0.2034749090671539,-0.5074388384819031,-0.1464915722608566
